ilce,tur,ad,dosya,longitude,latitude
BERGAMA,MAHALLE,BALABAN,BERGAMA_BALABAN_mahalle_siniri.kml,27.20816281699906,38.95942227764628
BERGAMA,MAHALLE,BARBAROS,BERGAMA_BARBAROS_mahalle_siniri.kml,27.179444910250336,39.122669926720725
BERGAMA,MAHALLE,BAYRAMCILAR,BERGAMA_BAYRAMCILAR_mahalle_siniri.kml,27.250198882200188,38.92327117967978
BERGAMA,MAHALLE,BEKİRLER,BERGAMA_BEKİRLER_mahalle_siniri.kml,27.278012624831128,38.94290495539474
BERGAMA,MAHALLE,BOZKÖY,BERGAMA_BOZKÖY_mahalle_siniri.kml,27.094331159831043,39.040082144413375
BERGAMA,MAHALLE,BOZYERLER,BERGAMA_BOZYERLER_mahalle_siniri.kml,27.127786343998427,38.97082056907934
BERGAMA,MAHALLE,BÖLCEK,BERGAMA_BÖLCEK_mahalle_siniri.kml,27.421462953312012,39.17635288426924
BERGAMA,MAHALLE,CEVAPLI,BERGAMA_CEVAPLI_mahalle_siniri.kml,27.149968667978143,39.02695339484585
BERGAMA,MAHALLE,DAĞISTAN,BERGAMA_DAĞISTAN_mahalle_siniri.kml,27.307958396670955,39.13597343518541
BERGAMA,MAHALLE,AYVATLAR,BERGAMA_AYVATLAR_mahalle_siniri.kml,26.955787442870765,39.27139014684422
BERGAMA,MAHALLE,DEMİRCİDERE,BERGAMA_DEMİRCİDERE_mahalle_siniri.kml,26.916171748895277,39.26279192228023
BERGAMA,İLÇE,BERGAMA,BERGAMA_ilce_siniri.kml,27.19347863078018,39.165133190215954
BERGAMA,MAHALLE,OKÇULAR,BERGAMA_OKÇULAR_mahalle_siniri.kml,26.954833479164026,39.283768838935366
BERGAMA,MAHALLE,TAVUKÇUKURU,BERGAMA_TAVUKÇUKURU_mahalle_siniri.kml,27.267422200368912,38.95714596759488
BERGAMA,MAHALLE,ÇALIBAHÇE,BERGAMA_ÇALIBAHÇE_mahalle_siniri.kml,27.11235446123085,39.00208455514281
BERGAMA,MAHALLE,TEKKEDERE,BERGAMA_TEKKEDERE_mahalle_siniri.kml,27.062911678219134,38.992385042352666
BERGAMA,MAHALLE,TEPEKÖY,BERGAMA_TEPEKÖY_mahalle_siniri.kml,27.10403742225932,39.092210079125564
BERGAMA,MAHALLE,TERZİHALİLLER,BERGAMA_TERZİHALİLLER_mahalle_siniri.kml,27.064742011077623,39.306797149888794
BERGAMA,MAHALLE,TIRMANLAR,BERGAMA_TIRMANLAR_mahalle_siniri.kml,27.264692232349436,39.28501028170432
BERGAMA,MAHALLE,TOPALLAR,BERGAMA_TOPALLAR_mahalle_siniri.kml,27.33898157429726,39.348725100488
